Amador,46,2,1,14,5,1,4,5,0,0,1,9,4
El Dorado,205,9,4,50,17,19,12,35,5,0,4,38,12
Sacramento,16,1,0,1,2,1,0,3,1,0,0,4,3
San Joaquin,6,0,0,0,1,1,0,1,0,0,0,2,1
Butte,11,0,1,0,0,0,3,5,0,0,0,1,1
Tehama,3,0,0,0,0,0,3,0,0,0,0,0,0
Del Norte,22,3,4,4,0,0,1,5,1,0,0,4,0
Humboldt,262,57,12,16,25,3,55,27,3,0,1,53,10
Lassen,67,3,2,3,0,2,43,6,0,0,0,6,2
Modoc,16,0,0,0,0,1,9,0,0,2,0,4,0
Plumas,13,2,0,1,0,0,8,1,0,0,0,1,0
Shasta,0,0,0,0,0,0,0,0,0,0,0,0,0
Siskiyou,2,0,0,0,0,0,2,0,0,0,0,0,0
Mendocino,139,6,11,42,12,5,5,14,1,2,2,25,14
Mendocino,139,6,11,42,12,5,5,14,1,2,2,25,14
Nevada,119,12,1,28,14,7,13,13,1,0,1,25,4
Placer,125,4,2,24,9,11,12,11,3,1,0,40,8
Sierra,1,0,0,0,0,0,1,0,0,0,0,0,0
Sutter,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuba,46,2,1,7,2,9,2,7,0,0,1,10,5
San Mateo,17,0,1,0,2,2,1,0,0,0,1,9,1
Santa Cruz,46,7,2,2,8,4,0,6,0,0,1,13,3
Alameda,50,0,1,2,6,5,2,4,0,0,0,21,9
Contra Costa,43,11,2,1,8,5,0,3,0,0,0,10,3
Santa Clara,58,1,0,2,6,7,1,9,0,0,0,26,6
W. San Joaquin,8,0,0,0,0,0,0,1,0,0,0,5,2
W. Stanislaus,8,0,0,0,0,0,0,1,0,0,0,3,4
E. Trinity,33,3,1,5,0,3,8,7,0,0,0,6,0
Shasta,170,35,5,23,6,13,27,13,5,0,2,31,10
Shasta,1,0,0,0,0,0,0,1,0,0,0,0,0
Siskiyou,181,4,5,20,5,7,48,63,1,0,0,26,2
Colusa,9,1,0,0,2,2,0,2,0,0,0,2,0
Lake,75,9,0,10,8,8,0,7,2,0,2,24,5
Napa,51,0,3,12,9,3,2,6,0,0,0,15,1
Solano,18,1,0,2,0,1,0,4,0,0,0,7,3
Sonoma,156,2,10,28,17,13,0,25,1,0,3,30,27
Yolo,18,1,0,2,0,2,0,1,0,0,1,6,5
Glenn,6,0,0,0,0,0,0,2,0,0,0,1,3
Tehama,74,2,2,7,4,4,6,10,1,0,1,27,10
Fresno,115,35,3,8,12,10,20,7,0,0,1,12,7
Kings,2,0,0,0,0,0,0,0,0,0,0,2,0
Madera,74,7,2,17,7,7,1,4,4,0,0,16,9
Mariposa,44,4,2,20,0,5,1,5,0,0,1,4,2
Merced,19,4,0,0,1,0,1,2,0,0,0,5,6
Riverside,120,4,12,18,5,8,2,16,5,0,3,40,7
Monterey,54,1,0,5,10,4,9,5,1,0,1,11,7
San Benito,24,2,0,1,3,9,1,1,0,0,0,5,2
Inyo,12,0,1,1,1,0,1,0,0,0,1,5,2
San Bernardino,87,3,9,9,0,2,3,28,4,0,0,26,3
San Diego,110,0,3,16,6,9,6,17,3,0,0,47,3
San Luis Obispo,134,1,10,7,11,15,7,42,1,0,1,11,28
Tulare,70,5,0,1,7,5,17,12,0,0,0,20,3
Calaveras,122,2,1,32,7,13,8,21,1,0,1,26,10
E. San Joaquin,10,0,0,0,0,4,0,1,0,0,0,3,2
E. Stanislaus,30,4,5,0,6,1,1,4,0,0,0,6,3
Tuolumne,83,3,1,13,8,10,6,16,0,0,1,21,4
